Company Name,Year of experience,Job location,Skills required,Publised days ago
"E FRIEND TECHNOLOGIES
     (More Jobs)",3 yrs,"Indore,  Ratlam,  Ujjain,  Other City(s) in Madhya Pradesh","admin  ,  admin executive  ,  mis executive  ,  backend executive  ,  computer operator  ,  data entry operator",0.0
"Electrobrain modern technologies pvt ltd
     (More Jobs)",8 yrs,"Ghaziabad,  Gorakhpur,  Kanpur,  Lucknow,  Mathura","Mis Reporting  ,  Mis Preparation  ,  Mis Operations  ,  Mis Development",0.0
"PRIMEX IMMIGRATION LLP
     (More Jobs)",8 yrs,Singapore,"exercise  ,  yoga  ,  Yoga Instructor  ,  Yoga Teacher  ,  Yoga Therapy  ,  Meditation",0.0
"Ansari Hospital
     (More Jobs)",7 yrs,Delhi,"Ultrasounds; X-rays; film evaluation  ,  Computerized tomography   (  CT  )   scans",0.0
"CLOUD VISA IMMIGRATION LLP
     (More Jobs)",8 yrs,"France,  Mexico,  null","yoga teacher  ,  yoga instructor  ,  yoga   ,  fitness teacher",0.0
"Augustin Xavier
     (More Jobs)",6 yrs,"Agra,  Allahabad,  Dehradun,  Haldwani,  Haridwar","senior engineer  ,  team leader  ,  manager  ,  associate manager  ,  senior quality analyst  ,  project lead  ,  project leader  ,  project engineer  ,  executive engineer",0.0
"Augustin Xavier
     (More Jobs)",6 yrs,"Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune","senior engineer  ,  team leader  ,  manager  ,  associate manager  ,  senior quality analyst  ,  project lead  ,  project leader  ,  project engineer  ,  executive engineer",0.0
"Augustin Xavier
     (More Jobs)",8 yrs,"Bengaluru / Bangalore,  Chennai,  Kolkata,  Mumbai,  Kasauli","Project Management  ,  project manager  ,  software engineer  ,  programmer  ,  engineer",0.0
"Cynosure Corporate Solutions
     (More Jobs)",6 yrs,Bengaluru / Bangalore,"Back-office Operations  ,  Administrative Support Services  ,  Planning Liaison",0.0
"Augustin Xavier
     (More Jobs)",8 yrs,"Kannur,  Kollam,  Palakkad,  Thiruvananthapuram,  Thrissur","customer support engineer  ,  system engineer  ,  technical support engineer  ,  desktop engineer  ,  service engineer",0.0
"A Reputed organisation
     (More Jobs)",7 yrs,,"""Nurse""  ,  ""Carer""",0.0
"Augustin Xavier
     (More Jobs)",8 yrs,"Srikakulam,  Tirupati,  Vijayawada,  Visakhapatnam,  Warangal","Back-office Operations  ,  Computer Operator  ,  Accountant And Back Office  ,  Accountant  ,  junior accountant",1.0
"Augustin Xavier
     (More Jobs)",7 yrs,"Karimnagar,  Ongole,  Sangareddy,  Srikakulam,  Vijayawada","Marketing  ,  team leader  ,  team lead  ,  project manager",1.0
"Augustin Xavier
     (More Jobs)",8 yrs,"Baddi,  Bilaspur,  Kasauli,  Kinnaur,  Kullu","Credit Manager  ,  Banking  ,  Accountant  ,  executive  ,  hardware engineer  ,  desktop engineer  ,  network engineer",1.0
"Electrobrain modern technologies pvt ltd
     (More Jobs)",8 yrs,"Agra,  Aligarh,  Allahabad,  Bareilly,  Faizabad","Mis Reporting  ,  Mis Preparation  ,  Mis Operations  ,  Mis Development",2.0
"CLOUD VISA IMMIGRATION LLP
     (More Jobs)",8 yrs,,"customer service executive  ,  Customer Relation  ,  Customer Loyalty",2.0
"Saraswati Sitaram Parate
     (More Jobs)",3 yrs,"Cincinnati,  Portland,  France,  Germany,  Hong Kong","Back Office Operations  ,  excel  ,  Part Time Work  ,  Data Entry  ,  Typing  ,  Data Processing  ,  back office  ,  Freelancing  ,  Students  ,  Offline Typing  ,  Data Entry Operations  ,  Part Time",0.0
"CONNECTING DOT PVT LTD
     (More Jobs)",4 yrs,Dhanbad,"Search Engine Marketing  ,  Seo",0.0
"Augustin Xavier
     (More Jobs)",6 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR","senior engineer  ,  team leader  ,  manager  ,  associate manager  ,  senior quality analyst  ,  project lead  ,  project leader  ,  project engineer  ,  executive engineer",0.0
"CLOUD VISA IMMIGRATION LLP
     (More Jobs)",8 yrs,,"account delivery manager  ,  delivery manager  ,  account manager",2.0
"Saraswati Sitaram Parate
     (More Jobs)",3 yrs,"Latur,  Lonavala,  Mahabaleshwar,  Mumbai,  Nagpur","Back Office Operations  ,  excel  ,  Part Time Work  ,  Data Entry  ,  Typing  ,  Data Processing  ,  back office  ,  Freelancing  ,  Students  ,  Offline Typing  ,  Data Entry Operations  ,  Part Time",0.0
"Maxgen Technologies
     (More Jobs)",1 yrs,"Mumbai,  Dombivali,  Kalyan,  Navi Mumbai,  Thane","java  ,  spring  ,  Struts  ,  Html",0.0
"Maxgen Technologies
     (More Jobs)",1 yrs,"Mumbai,  Dombivali,  Kalyan,  Navi Mumbai,  Thane","python  ,  Css",0.0
"AIMS Hospital
     (More Jobs)",5 yrs,Dombivali,"MBBS  ,   MS  ,   FCPS  ,   FICO  ,   DNB  ,   MCh",2.0
"Saraswati Sitaram Parate
     (More Jobs)",7 yrs,,"Back Office Operations  ,  excel  ,  Part Time Work  ,  Data Entry  ,  Typing  ,  Data Processing  ,  back office  ,  Freelancing  ,  Students  ,  Offline Typing  ,  Data Entry Operations  ,  Part Time",0.0
"Saraswati Sitaram Parate
     (More Jobs)",5 yrs,"Aurora,  Chicago,  Elgin,  Schaumburg,  Cincinnati","Back Office Operations  ,  excel  ,  Part Time Work  ,  Data Entry  ,  Typing  ,  Data Processing  ,  back office  ,  Freelancing  ,  Students  ,  Offline Typing  ,  Data Entry Operations  ,  Part Time",0.0
"Saraswati Sitaram Parate
     (More Jobs)",3 yrs,"Hamirpur,  Kangra,  Kasauli,  Kinnaur,  Kullu","Back Office Operations  ,  excel  ,  Part Time Work  ,  Data Entry  ,  Typing  ,  Data Processing  ,  back office  ,  Freelancing  ,  Students  ,  Offline Typing  ,  Data Entry Operations  ,  Part Time",0.0
"Saraswati Sitaram Parate
     (More Jobs)",3 yrs,,"Back Office Operations  ,  excel  ,  Part Time Work  ,  Data Entry  ,  Typing  ,  Data Processing  ,  back office  ,  Freelancing  ,  Students  ,  Offline Typing  ,  Data Entry Operations  ,  Part Time",0.0
"Saraswati Sitaram Parate
     (More Jobs)",3 yrs,,"Back Office Operations  ,  excel  ,  Part Time Work  ,  Data Entry  ,  Typing  ,  Data Processing  ,  back office  ,  Freelancing  ,  Students  ,  Offline Typing  ,  Data Entry Operations  ,  Part Time",0.0
"Maxgen Technologies
     (More Jobs)",1 yrs,"Mumbai,  Dombivali,  Kalyan,  Navi Mumbai,  Thane","intern  ,  fresher",2.0
"Saraswati Sitaram Parate
     (More Jobs)",5 yrs,"Aurora,  Chicago,  Elgin,  Portland,  Philadelphia","Back Office Operations  ,  excel  ,  Part Time Work  ,  Data Entry  ,  Typing  ,  Data Processing  ,  back office  ,  Freelancing  ,  Students  ,  Offline Typing  ,  Data Entry Operations  ,  Part Time",
"Saraswati Sitaram Parate
     (More Jobs)",5 yrs,,"Back Office Operations  ,  excel  ,  Part Time Work  ,  Data Entry  ,  Typing  ,  Data Processing  ,  back office  ,  Freelancing  ,  Students  ,  Offline Typing  ,  Data Entry Operations  ,  Part Time",
"PearVisa
     (More Jobs)",11 yrs,"Australia,  Canada","database warehousing  ,  database architect  ,  database manager  ,  Database Administration  ,  database  ,  Data Analysis  ,  Data Communication  ,  Data Conversion Services",0.0
"Saraswati Sitaram Parate
     (More Jobs)",5 yrs,"Anantapur,  Chittoor,  Cuddapah,  Guntakal,  Guntur","Back Office Operations  ,  excel  ,  Part Time Work  ,  Data Entry  ,  Typing  ,  Data Processing  ,  back office  ,  Freelancing  ,  Students  ,  Offline Typing  ,  Data Entry Operations  ,  Part Time",
WALMART INDIA,8 yrs,,"python  ,  hive  ,  algorithms  ,  data mining  ,  sql  ,  hadoop  ,  sas  ,  machine learning",1.0
"Maxgen Technologies
     (More Jobs)",1 yrs,"Pune,  Jalgaon,  Kolhapur,  Nagpur,  Solapur","web development  ,  java  ,  hibernate",2.0
"Saraswati Sitaram Parate
     (More Jobs)",3 yrs,,"Back Office Operations  ,  excel  ,  Part Time Work  ,  Data Entry  ,  Typing  ,  Data Processing  ,  back office  ,  Freelancing  ,  Students  ,  Offline Typing  ,  Data Entry Operations  ,  Part Time",
"Saraswati Sitaram Parate
     (More Jobs)",3 yrs,,"Back Office Operations  ,  excel  ,  Part Time Work  ,  Data Entry  ,  Typing  ,  Data Processing  ,  back office  ,  Freelancing  ,  Students  ,  Offline Typing  ,  Data Entry Operations  ,  Part Time",
"Saraswati Sitaram Parate
     (More Jobs)",3 yrs,"Philadelphia,  Bangladesh,  null,  null,  null","Back Office Operations  ,  excel  ,  Part Time Work  ,  Data Entry  ,  Typing  ,  Data Processing  ,  back office  ,  Freelancing  ,  Students  ,  Offline Typing  ,  Data Entry Operations  ,  Part Time",
"Saraswati Sitaram Parate
     (More Jobs)",6 yrs,,"Back Office Operations  ,  excel  ,  Part Time Work  ,  Data Entry  ,  Typing  ,  Data Processing  ,  back office  ,  Freelancing  ,  Students  ,  Offline Typing  ,  Data Entry Operations  ,  Part Time",
"AppSoft Solutions
     (More Jobs)",3 yrs,"Bengaluru / Bangalore,  Delhi,  Mumbai,  Noida/Greater Noida,  Pune","Android Development  ,  Android Sdk  ,  Android  ,  Android Studio  ,  Java  ,  Advanced Java J2EE  ,  android ui  ,  Android testing",0.0
"AppSoft Solutions
     (More Jobs)",3 yrs,"Bengaluru / Bangalore,  Delhi,  Hyderabad/Secunderabad,  Mumbai,  Pune","Electronics Engineer  ,  Electronic Product Development  ,  Design Engineering  ,  Electronic Hardware  ,  Electronics Telecommunications  ,  Electronics  ,  Telecommunications",0.0
"SMASHBIG INC.
     (More Jobs)",3 yrs,"Bengaluru / Bangalore,  Delhi,  Delhi/NCR,  Kolkata,  Mumbai",Java,
"E FRIEND TECHNOLOGIES
     (More Jobs)",10 yrs,"Delhi/NCR,  Hyderabad/Secunderabad,  Mumbai,  Chandigarh,  Indore","java  ,  node  ,  Angular",2.0
"E FRIEND TECHNOLOGIES
     (More Jobs)",10 yrs,"Gurgaon,  Indore,  Jaipur,  Jodhpur,  Kota","Fmcg  ,  Sales  ,  sales manager  ,  food  ,  channel sales  ,  modern trade  ,  b2b",2.0
"VISAWIDE IMMIGRATION PRIVATE LIMITED
     (More Jobs)",8 yrs,"Dubai,  Australia,  Canada,  New Zealand,  Singapore","Pharmaceutical Industry  ,  Medical  ,  Pharmaceutical  ,  Medicine",0.0
The Smart Cube India Pvt Ltd,12 yrs,,"visualization  ,  business requirements  ,  bi  ,  sql  ,  use cases  ,  statistical modeling  ,  logistic regression  ,  crm  ,  tableau  ,  project delivery  ,  analyst",1.0
WALMART INDIA,8 yrs,,"data analytics  ,  data mining  ,  sql  ,  data visualization  ,  sas  ,  consulting  ,  business analytics  ,  tableau  ,  statistical analysis",1.0
WALMART INDIA,8 yrs,,"data analytics  ,  data mining  ,  sql  ,  data visualization  ,  sas  ,  consulting  ,  business analytics  ,  tableau  ,  statistical analysis",2.0
WALMART INDIA,8 yrs,,"data analytics  ,  data mining  ,  sql  ,  data visualization  ,  san  ,  sas  ,  consulting  ,  business analytics  ,  tableau  ,  statistical analysis",3.0
WALMART INDIA,8 yrs,,"data analytics  ,  data mining  ,  sql  ,  data visualization  ,  sas  ,  consulting  ,  business analytics  ,  tableau  ,  statistical analysis",3.0
WALMART INDIA,7 yrs,,"visualization  ,  data analytics  ,  data mining  ,  sql  ,  data visualization  ,  san  ,  consulting  ,  business analytics  ,  tableau  ,  statistical analysis",1.0
"I2CANZ OUTSOURCING PRIVATE LIMITED
     (More Jobs)",7 yrs,"Australia,  Canada,  null","Web Designing  ,  Web Developing Web Desiging  ,  Web Based Development J2EE  ,  Web Development Service Sale  ,  ASP .net Web Development  ,  Sql Server  ,  Html  ,  c ++  ,  Oracle",0.0
WALMART INDIA,8 yrs,,"dashboards  ,  advanced analytics  ,  data analytics  ,  director  ,  alteryx  ,  data mining  ,  bi  ,  sql  ,  data visualization  ,  data analysis  ,  sas  ,  consulting  ,  business analytics  ,  tableau  ,  statistical analysis",1.0
Hero MotoCorp Ltd,9 yrs,Gurgaon,"visualization  ,  data mining  ,  sql  ,  requirement gathering  ,  database  ,  use cases  ,  advanced analytics  ,  data analytics  ,  sas  ,  big data analytics  ,  project governance  ,  predictive analytics  ,  business analysis  ,  data analyst  ,  artificial neural networks",1.0
"Laxmi Infotech
     (More Jobs)",3 yrs,"Ahmedabad,  Delhi,  Gurgaon,  Kolkata,  Pune","Digital Marketing Executive  ,  Link Building  ,  Webmaster Tools  ,  Social Media Optimization  ,  Internet Marketing  ,  Online Marketing  ,  Affiliate Marketing  ,  Email Marketing",2.0
"AppSoft Solutions
     (More Jobs)",3 yrs,"Ahmedabad,  Delhi,  Gurgaon,  Kolkata,  Noida/Greater Noida","SQL  ,   Shell scripts  ,   Unix commands  ,   MySQL  ,   Oracle",2.0
"Laxmi Infotech
     (More Jobs)",6 yrs,"Mumbai,  Pune","Sql  ,  c ++  ,  Java  ,  Oracle  ,  Html  ,  Javascript  ,  Mysql  ,  Joomla  ,  Drupal  ,  Wordpress  ,  Css  ,  Xhtml  ,  Flash",2.0
"Priyanka Vinayak
     (More Jobs)",1 yrs,"Ahmedabad,  Andaman & Nicobar,  Adilabad,  Itanagar,  Bongaigaon","Data Entry  ,  data entry operator  ,  computer operator  ,  operator  ,  supervisor",
wsne consulting,3 yrs,Delhi,"technical leader  ,  debugger  ,  sql  ,  database  ,  oops  ,  abap",0.0
sonicsoft solutions,2 yrs,Visakhapatnam,"reports  ,  crystal report  ,  stored procedures  ,  sql  ,  database design  ,  reporting services  ,  sql server",0.0
Morgan Stanley Pvt Ltd,6 yrs,Mumbai,"unix shell scripting  ,  devops  ,  tibco  ,  unix  ,  autosys  ,  bi  ,  data warehousing  ,  sql  ,  python scripting  ,  git  ,  database developer",30.0
WALMART INDIA,6 yrs,,"visualization  ,  advanced analytics  ,  data analytics  ,  analytics reporting  ,  bi  ,  sql  ,  database  ,  sas  ,  consulting  ,  tableau",1.0
WALMART INDIA,7 yrs,,"python  ,  mining  ,  hive  ,  data mining  ,  bi  ,  sql  ,  hadoop  ,  pattern recognition  ,  san  ,  natural language processing  ,  machine learning  ,  written communication",0.0
WALMART INDIA,7 yrs,,"python  ,  mining  ,  hive  ,  data mining  ,  bi  ,  sql  ,  hadoop  ,  pattern recognition  ,  natural language processing  ,  machine learning  ,  written communication",1.0
WALMART INDIA,7 yrs,,"python  ,  mining  ,  hive  ,  data mining  ,  bi  ,  sql  ,  hadoop  ,  pattern recognition  ,  natural language processing  ,  machine learning  ,  written communication",1.0
dun and bradstreet india pvt ltd,13 yrs,,"pmp  ,  pmo  ,  mitigation  ,  project management  ,  artificial neural networks  ,  technical project manager  ,  bi  ,  sql  ,  escalation management  ,  project plan  ,  program manager  ,  c  ,  technical project management  ,  scrum master  ,  written communication",1.0
Opti sol solutions,4 yrs,Chennai,"oracle pl  /  sql  ,  sql  ,  oracle 10g  ,  database  ,  git  ,  xml  ,  sql developer  ,  pl  /  sql  ,  pl  /  sql developer  ,  sql*plus  ,  oracle  ,  rdbms  ,  oracle report builder  ,  triggers  ,  oracle sql  ,  forms",1.0
rencata,3 yrs,"Pondicherry/Puducherry,  Chennai","data warehousing  ,  t-sql  ,  sql  ,  database  ,  devops  ,  ssrs  ,  sql developer  ,  visual studio  ,  infrastructure  ,  sql database",0.0
clean harbors,10 yrs,Hyderabad/Secunderabad,"triggers  ,  sql  ,  database  ,  production environment  ,  sql developer",1.0
APPLYCUP HIRING SOLUTIONS LLP,8 yrs,Pune,"operating system  ,  plsql  ,  sql  ,  database  ,  security  ,  oracle 11g  ,  pl  /  sql  ,  unix  ,  pl  /  sql developer",0.0
CMOTS INTERNET TECHNOLOGIES PVT LTD,1 yrs,Mumbai,"Microsoft SQL 2008  ,  MS Acess   ,  MYSQL  ,   Coding  ,   database  ,   sql development.",1.0
GLOWTOUCH TECHNOLOGIES,6 yrs,"Mysoru / Mysore,  Mangalore,  Bengaluru / Bangalore","sql  ,  salesforce  ,  database  ,  data structures  ,  crm  ,  written communication  ,  application support",1.0
ETRANS SOLUTIONS PVT LTD,5 yrs,Kolkata,"sql development  ,  oracle  ,  triggers  ,  plsql  ,  database  ,  postgresql  ,  sql developer  ,  technical skills",1.0
"AppSoft Solutions
     (More Jobs)",3 yrs,"Bengaluru / Bangalore,  Delhi,  Mumbai,  Noida/Greater Noida,  Pune","Web Design  ,  graphic designer  ,  ui designer  ,  asp.net  ,  html  ,  css  ,  HTML Java Script  ,  Ruby on Rails  ,   Node.js  ,  my sql  ,  SQL Server  ,  Web Graphic Designer  ,  Adobe Flash  ,  Photoshop",0.0
"HR Jobs Placements
     (More Jobs)",15 yrs,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad,  Mumbai","ERP implementation  ,   software support and training  ,   MS SQL Server admin and advanced SQL Queries  ,   Crystal reports.",1.0
"Priyanka Vinayak
     (More Jobs)",1 yrs,"Ahmedabad,  Andaman & Nicobar,  Adilabad,  Itanagar,  Bongaigaon","seo  ,  Google Analytics  ,  Social Media Marketing  ,  Email Marketing  ,  Google Adwords",
"Priyanka Vinayak
     (More Jobs)",2 yrs,"Delhi,  Andaman & Nicobar,  Anantapur,  Itanagar,  Jorhat","data entry  ,  computer operator  ,  work from home  ,  home based",
"AppSoft Solutions
     (More Jobs)",3 yrs,"Bengaluru / Bangalore,  Delhi,  Mumbai,  Noida/Greater Noida,  Pune","Html  ,  css  ,  java  ,  jQuery  ,  Javascript  ,  AngularJS  ,  Java J2EE Struts  ,  Advanced Java J2EE  ,  php  ,  c#",0.0
Coverfox.com,4 yrs,Mumbai,"data analytics  ,  gap analysis  ,  mobile  ,  sql  ,  advanced excel  ,  product analyst",0.0
Soho Dragon,3 yrs,New York City,"vertica  ,  data engineer  ,  sql  ,  data modeling  ,  etl tool  ,  greenplum  ,  etl",6.0
Soho Dragon,13 yrs,,"algorithms  ,  sql server developer  ,  sql server development  ,  bi  ,  data warehousing  ,  graphics  ,  t-sql  ,  security  ,  database  ,  data structures  ,  it professional  ,  gateway",6.0
crescendo global,6 yrs,Mumbai,"algorithms  ,  bi  ,  sql  ,  api  ,  python  ,  c  ,  mining  ,  machine learning",1.0
"Priyanka Vinayak
     (More Jobs)",2 yrs,"Delhi,  Chandigarh,  Rajahmundry,  Itanagar,  Dhubri","data entry  ,  home based  ,  computer operator  ,  typing job",
"Priyanka Vinayak
     (More Jobs)",1 yrs,"Delhi,  Hyderabad/Secunderabad,  Lakshdweep,  Itanagar,  Silchar","Internet Marketing  ,  Online Marketing  ,  seo executive  ,  search engine optimizer  ,  seo expert",
"Priyanka Vinayak
     (More Jobs)",2 yrs,"Hyderabad/Secunderabad,  Chandigarh,  Guntakal,  Itanagar,  Silchar","data entry  ,  home based  ,  online work  ,  computer operator",
"Priyanka Vinayak
     (More Jobs)",1 yrs,"Chennai,  Dadra & Nagar Haveli - Silvassa,  Chittoor,  Itanagar,  Dibrugarh","Data Entry  ,  data entry operator  ,  computer operator  ,  operator  ,  supervisor",
"Priyanka Vinayak
     (More Jobs)",2 yrs,"Kolkata,  Daman & Diu,  Medak,  Itanagar,  Silchar","typing job  ,  functional area  ,  online work  ,  Computer Operator  ,  data entry",
"Priyanka Vinayak
     (More Jobs)",2 yrs,"Chennai,  Dadra & Nagar Haveli - Silvassa,  Anantapur,  Itanagar,  Tezpur","data entry  ,  computer operator  ,  part time  ,  Work From Home",
"Priyanka Vinayak
     (More Jobs)",2 yrs,"Chennai,  Lakshdweep,  Mahabubnagar,  Itanagar,  Dibrugarh","part time  ,  Work From Home  ,  Data Entry  ,  Computer Operator",
"Priyanka Vinayak
     (More Jobs)",1 yrs,"Delhi,  Delhi/NCR,  Guntur,  Itanagar,  Jorhat","Data Entry  ,  data entry operator  ,  computer operator  ,  operator  ,  supervisor",
Teradata Corporations,11 yrs,Hyderabad/Secunderabad,"algorithms  ,  c    ,  advanced c  ,  sql  ,  database  ,  git  ,  software engineer  ,  software engineering  ,  data structures  ,  cloud computing  ,  rdbms",1.0
"Kaushik Ghosh
     (More Jobs)",8 yrs,Chennai,"Oracle PlSQL  ,     ,  Oracle10g  ,  Oracle 19C",30.0
Exxon Mobil Corporation,6 yrs,"Mumbai,  Bengaluru / Bangalore","information technology  ,  digitization  ,  macros  ,  business analyst  ,  security  ,  consulting  ,  computer application  ,  business analysis  ,  tableau  ,  consultant  ,  business process  ,  infrastructure",1.0
Amdocs Development Center India Pvt. Ltd.,3 yrs,Pune,"docker  ,  devops  ,  mediation  ,  mobile  ,  consultant  ,  infrastructure",1.0
"AppSoft Solutions
     (More Jobs)",3 yrs,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Pune","SQL  ,   Shell scripts  ,   Unix commands  ,   MySQL  ,   Oracle",2.0
Soho Dragon,8 yrs,New York City,"vertica  ,  sql  ,  data modeling  ,  etl tool  ,  greenplum  ,  etl",6.0
AGUILASS,7 yrs,Kolkata,"hive  ,  oracle pl  ,  oracle pl  /  sql  ,  sql  ,  advanced java  ,  java  ,  flume  ,  unix shell  ,  multithreading  ,  hadoop",1.0
crescendo global,6 yrs,Gurgaon,"visualization  ,  business requirements  ,  bi  ,  dashboards  ,  sql  ,  security  ,  sas   /   sql  ,  sas  /   sql  ,  macros  ,  c  ,  sas",1.0
Amdocs Development Center India Pvt. Ltd.,8 yrs,Pune,"dbms  ,  devops  ,  software engineering  ,  pl  /  sql  ,  oracle  ,  groovy  ,  cassandra  ,  sql  ,  couchbase  ,  debugging  ,  mediation  ,  mobile  ,  infrastructure  ,  oracle rdbms",6.0
crescendo global,8 yrs,Gurgaon,"algorithms  ,  artificial intelligence  ,  sql  ,  python  ,  c  ,  machine learning",1.0
Visa Inc.,5 yrs,Bengaluru / Bangalore,"devops  ,  python  ,  github  ,  hive  ,  bi  ,  sql  ,  database  ,  security  ,  hadoop  ,  bpm  ,  crm  ,  appian  ,  production support  ,  infrastructure  ,  project delivery",30.0
"ERM Placement Services Pvt. Ltd.
     (More Jobs)",8 yrs,Kolkata,".net  ,  oracle sql",30.0
solix technologies ltd.,12 yrs,Hyderabad/Secunderabad,"hive  ,  junit  ,  oracle  ,  jdbc  ,  impala  ,  sql  ,  advanced java  ,  java  ,  hdfs  ,  hadoop  ,  j2ee technologies  ,  hbase",0.0
statxo analytics,8 yrs,Gurgaon,"visualization  ,  dashboards  ,  sql  ,  advanced excel  ,  telecom  ,  arima  ,  macros  ,  data analysis  ,  data analyst  ,  alteryx  ,  tableau  ,  written communication",0.0
SLA Consultants India,5 yrs,"Noida/Greater Noida,  Gurgaon,  Delhi,  Delhi/NCR","process analyst  ,  dashboards  ,  ms access  ,  vba  ,  bi  ,  business analyst  ,  sql  ,  advanced excel  ,  data",0.0
